Data,Precipitacao,PressaoAtm(mB),PressaoAtmMax(mB),PressaoAtmMin(mb),RadiacaoGlobal(Kj/m2),TemperaturaBulboSeco(C),TemperaturaPontoOrvalho(C),TemperaturaMax(C),TemperaturaMin(C),TemperaturaMaxOrvalho(C),TemperaturaMinOrvalho(C),UmidadeRelMax(%),UmidadeRelMin(%),UmidadeRel(%),VentoDirecao(grau),VentoRajada(m/s),VentoVelocidade(m/s),Acidentes,Day of The Week,Feriado
1/1/2010,-179960.8,946.9,947,-9999,572.7,21.8,20.1,21.9,-9999,20.4,-9999,96,-9999,96,324,4.3,2.9,15,Friday,1
1/2/2010,-99989.8,949.6,949.7,-9999,6.6,32,22.4,32.8,-9999,22.5,-9999,95,-9999,92,80,7.8,3.7,19,Saturday,0
1/3/2010,-49992.2,951.1,951.2,-9999,561.3,33.3,22.9,33.9,-9999,23,-9999,97,-9999,97,68,7.6,5.6,34,Sunday,0
1/4/2010,0.6,950.9,951,947.7,770.5,33.2,21.7,33.6,21.3,22,16.1,94,37,94,82,6.1,8.8,19,Monday,0
1/5/2010,2.6,949.6,949.6,943.7,787.1,32.4,21.2,33.3,20.7,22.4,17.5,95,45,94,98,8.6,4,25,Tuesday,0
1/6/2010,-19997,947.7,947.8,-9999,931.5,31.2,21.2,31.7,-9999,22.1,-9999,94,-9999,93,58,8,4.3,22,Wednesday,0
1/7/2010,-9944,947.3,947.4,-9999,699.1,32.1,21.2,32.6,-9999,21.8,-9999,96,-9999,95,95,8.6,5.8,23,Thursday,0
1/8/2010,-29982.4,949.1,949.3,-9999,732,32.6,21.9,32.7,-9999,22.6,-9999,96,-9999,95,88,8.6,5.6,28,Friday,0
1/9/2010,3.6,949.8,949.9,945,678.4,33,22.7,34.1,20.1,23.6,18.4,96,41,96,84,8.1,4.5,31,Saturday,0
1/10/2010,0,948.8,948.9,944.5,944.2,35.1,22.1,35.6,21.7,22.1,14.5,95,30,95,89,8.8,4.3,25,Sunday,0
1/11/2010,0,947.8,947.9,943.5,925.6,33.6,20.9,34.8,21.2,21.5,16.1,93,35,92,88,8.8,5.1,24,Monday,0
1/12/2010,2.8,948.3,948.6,945,72.4,32,21.4,33.2,20.7,21.9,17.6,93,45,93,92,7.7,5.9,32,Tuesday,0
1/13/2010,-29997,949,949.1,-9999,646.8,32.3,21.2,32.7,-9999,22.2,-9999,94,-9999,94,93,5.2,5.4,31,Wednesday,0
1/14/2010,12,949.1,949.1,945.5,809.5,29.8,21.4,30.9,19.7,21.7,17.6,94,52,93,97,6.9,3.9,27,Thursday,0
1/15/2010,-29967.2,953.6,953.6,-9999,866.8,26.2,21.2,26.7,-9999,21.7,-9999,95,-9999,95,56,9.5,6.1,35,Friday,0
1/16/2010,-89991,953.9,954,-9999,797.1,29.5,21.9,30.6,-9999,22.1,-9999,90,-9999,89,99,7.1,5,40,Saturday,0
1/17/2010,-29995.6,953.6,953.6,-9999,893.7,29.3,22.3,29.6,-9999,22.9,-9999,94,-9999,93,74,8,4.9,21,Sunday,0
1/18/2010,-89987,951.6,951.7,-9999,987.9,31.3,20.8,31.5,-9999,21.4,-9999,95,-9999,95,84,7.2,4.1,21,Monday,0
1/19/2010,-49991.2,950.2,950.4,-9999,557,31.9,21.7,32.7,-9999,22.3,-9999,92,-9999,92,98,9.6,4.9,33,Tuesday,0
1/20/2010,-29996.8,949.9,950.1,-9999,915.5,31.5,20.8,31.8,-9999,21.2,-9999,95,-9999,94,75,8,5.2,26,Wednesday,0
1/21/2010,-29985.6,948.2,948.2,-9999,998.8,31,21.6,31,-9999,21.8,-9999,94,-9999,94,78,9.1,6.8,26,Thursday,0
1/22/2010,-99989.8,949.4,949.5,-9999,944.4,26.2,21,26.7,-9999,21.4,-9999,95,-9999,95,99,6.9,3.8,26,Friday,0
1/23/2010,-89991,950.1,950.1,-9999,843.9,29.3,20.1,29.9,-9999,20.3,-9999,95,-9999,95,96,9,3.9,24,Saturday,0
1/24/2010,-79984.6,949.9,950.1,-9999,8.6,27.8,20.9,29,-9999,21.7,-9999,95,-9999,94,89,8.7,3.7,50,Sunday,0
1/25/2010,-49991.6,949.6,949.6,-9999,8.3,26.6,21.5,27.5,-9999,22.1,-9999,95,-9999,95,94,8.3,4.6,32,Monday,0
1/26/2010,-89961.2,949.1,949.1,-9999,828.7,28.9,20.2,30.4,-9999,20.9,-9999,96,-9999,94,86,9.7,6,20,Tuesday,0
1/27/2010,-59992,949,949.3,-9999,84.2,31.2,20.5,31.3,-9999,20.9,-9999,96,-9999,96,83,9.6,4.2,20,Wednesday,0
1/28/2010,-19997.8,948.1,948.2,-9999,93,31.2,21.1,31.7,-9999,21.5,-9999,95,-9999,94,7,7.8,5,23,Thursday,0
1/29/2010,-59994,949,949,-9999,888.6,28,21.4,28.3,-9999,21.5,-9999,94,-9999,94,67,6,3.7,33,Friday,0
1/30/2010,-89979.6,951.5,951.6,-9999,968.8,29.2,21.6,29.3,-9999,22.4,-9999,95,-9999,95,95,6.8,4.5,22,Saturday,0
