Colunas,Acidentes,Precipitacao,PressaoAtm,PressaoAtmMax,PressaoAtmMin,RadiacaoGlobal,TemperaturaBulboSeco,TemperaturaPontoOrvalho,TemperaturaMax,TemperaturaMin,TemperaturaMaxOrvalho,TemperaturaMinOrvalho,UmidadeRelMax,UmidadeRelMin,UmidadeRel,VentoDirecao,VentoRajada,VentoVelocidade,Feriado
Precipitacao,0.1,1,-0.22,-0.22,-0.22,-0.03,0.05,0.29,0.05,0.25,0.29,0.32,0.18,0.27,0.2,-0.01,0.08,0.1,-0.01
PressaoAtm,-0.11,-0.22,1,1,0.96,-0.07,-0.53,-0.61,-0.53,-0.64,-0.63,-0.54,-0.03,-0.02,-0.01,-0.03,-0.19,-0.14,-0.06
PressaoAtmMax,-0.1,-0.22,1,1,0.96,-0.07,-0.53,-0.61,-0.53,-0.64,-0.63,-0.54,-0.03,-0.02,-0.01,-0.03,-0.19,-0.14,-0.06
PressaoAtmMin,-0.09,-0.22,0.96,0.96,1,-0.06,-0.57,-0.57,-0.57,-0.6,-0.6,-0.49,-0.03,0.08,-0.02,0.02,-0.22,-0.19,-0.06
RadiacaoGlobal,-0.08,-0.03,-0.07,-0.07,-0.06,1,0.13,0.09,0.13,0.08,0.09,0,-0.13,-0.06,-0.15,0.5,0.17,0.04,-0.01
TemperaturaBulboSeco,-0.02,0.05,-0.53,-0.53,-0.57,0.13,1,0.53,0.96,0.52,0.59,0.36,-0.1,-0.35,-0.13,-0.05,0.24,0.26,0.05
TemperaturaPontoOrvalho,0.04,0.29,-0.61,-0.61,-0.57,0.09,0.53,1,0.5,0.84,0.95,0.81,0.12,0.35,0.12,0.01,0.16,0.13,0.04
TemperaturaMax,-0.02,0.05,-0.53,-0.53,-0.57,0.13,0.96,0.5,1,0.51,0.57,0.34,-0.1,-0.39,-0.13,-0.06,0.25,0.26,0.05
TemperaturaMin,0.06,0.25,-0.64,-0.64,-0.6,0.08,0.52,0.84,0.51,1,0.85,0.81,-0.16,0.26,-0.16,-0.01,0.22,0.21,0.04
TemperaturaMaxOrvalho,0.04,0.29,-0.63,-0.63,-0.6,0.09,0.59,0.95,0.57,0.85,1,0.8,0.11,0.3,0.11,0,0.17,0.14,0.05
TemperaturaMinOrvalho,0.07,0.32,-0.54,-0.54,-0.49,0,0.36,0.81,0.34,0.81,0.8,1,0.09,0.51,0.1,-0.05,0.1,0.09,0.03
UmidadeRelMax,0.06,0.18,-0.03,-0.03,-0.03,-0.13,-0.1,0.12,-0.1,-0.16,0.11,0.09,1,0.09,0.92,-0.04,-0.15,-0.19,0.02
UmidadeRelMin,0.1,0.27,-0.02,-0.02,0.08,-0.06,-0.35,0.35,-0.39,0.26,0.3,0.51,0.09,1,0.13,0.1,-0.12,-0.14,0
UmidadeRel,0.02,0.2,-0.01,-0.01,-0.02,-0.15,-0.13,0.12,-0.13,-0.16,0.11,0.1,0.92,0.13,1,-0.04,-0.13,-0.16,0.01
VentoDirecao,-0.03,-0.01,-0.03,-0.03,0.02,0.5,-0.05,0.01,-0.06,-0.01,0,-0.05,-0.04,0.1,-0.04,1,0.1,-0.02,0
VentoRajada,-0.05,0.08,-0.19,-0.19,-0.22,0.17,0.24,0.16,0.25,0.22,0.17,0.1,-0.15,-0.12,-0.13,0.1,1,0.64,-0.02
VentoVelocidade,-0.02,0.1,-0.14,-0.14,-0.19,0.04,0.26,0.13,0.26,0.21,0.14,0.09,-0.19,-0.14,-0.16,-0.02,0.64,1,0
Acidentes,1,0.1,-0.11,-0.1,-0.09,-0.08,-0.02,0.04,-0.02,0.06,0.04,0.07,0.06,0.1,0.02,-0.03,-0.05,-0.02,-0.03
Feriado,-0.03,-0.01,-0.06,-0.06,-0.06,-0.01,0.05,0.04,0.05,0.04,0.05,0.03,0.02,0,0.01,0,-0.02,0,1
