Data,Precipitacao,PressaoAtm,PressaoAtmMax,PressaoAtmMin,RadiacaoGlobal,TemperaturaBulboSeco,TemperaturaPontoOrvalho,TemperaturaMax,TemperaturaMin,TemperaturaMaxOrvalho,TemperaturaMinOrvalho,UmidadeRelMax,UmidadeRelMin,UmidadeRel,VentoDirecao,VentoRajada,VentoVelocidade,Acidentes,DiaSemana,Feriado
1/1/2010,19.6,946.9,947,944.9,572.7,21.8,20.1,21.9,20.7,20.4,19.7,96,88,96,324,4.3,2.9,14,Friday,1
1/2/2010,0,949.6,949.7,945.7,6.6,32,21.5,32.8,21.2,22.4,18.5,92,45,83,80,5.7,2.7,13,Saturday,0
1/3/2010,0.2,951.1,951.2,947.7,561.3,33.3,22.9,33.9,20.6,23,16.1,97,36,97,68,7.6,5.6,22,Sunday,0
1/4/2010,0.6,950.9,951,947.7,770.5,33.2,21.7,33.6,21.4,22,16.1,94,37,89,82,6.1,8.8,13,Monday,0
1/5/2010,2.4,948.7,948.7,943.7,787.1,32.4,21.2,33.3,20.7,22.4,17.5,95,45,92,73,8.6,4,13,Tuesday,0
1/6/2010,0,945.2,945.3,942.5,931.5,31.2,21.2,31.7,20.9,22.1,17.4,93,46,92,58,8,4.3,8,Wednesday,0
1/7/2010,44.2,946.8,946.9,943.3,699.1,32.1,21.2,32.6,21.2,21.8,17.2,96,42,95,95,8.6,5.8,11,Thursday,0
1/8/2010,9.8,949.1,949.3,945,732,32.6,21.9,32.7,21.1,22.6,17.2,96,45,94,88,8.6,5.6,11,Friday,0
1/9/2010,0.2,949.8,949.9,945,678.4,33,22.7,34.1,20.5,23.6,18.4,96,41,96,84,8.1,4.5,17,Saturday,0
1/10/2010,0,948.6,948.8,944.5,944.2,35.1,22.1,35.6,21.7,22.1,14.5,95,30,93,89,8.8,4.3,14,Sunday,0
1/11/2010,0,947.8,947.9,943.5,925.6,33.6,20.9,34.8,21.2,21.5,16.1,93,35,91,88,8.8,5.1,12,Monday,0
1/12/2010,2.6,948,948,945,72.4,32,21.3,33.2,20.7,21.9,17.6,93,45,91,61,5.8,5.9,22,Tuesday,0
1/13/2010,0,948.8,948.8,945.8,646.8,32.3,20.7,32.7,20.5,22.2,18,94,45,92,93,5.2,5.4,16,Wednesday,0
1/14/2010,12,948.4,948.5,946.3,809.5,29.8,21.4,30.9,19.7,21.7,17.6,94,52,91,76,6.9,3.9,17,Thursday,0
1/15/2010,9.8,952.9,952.9,950.5,866.8,26.2,21.2,26.7,18.8,21.7,17.1,95,64,93,56,9.5,6.1,16,Friday,0
1/16/2010,0,953.9,954,949.6,797.1,29.5,20.9,30.6,19.6,21.5,17.7,90,54,89,9,7.1,5,22,Saturday,0
1/17/2010,1.2,953.5,953.6,949.4,893.7,29.3,22.3,29.6,21.7,22.9,18.2,94,54,92,74,8,4.9,12,Sunday,0
1/18/2010,1.2,951.6,951.7,947.3,987.9,31.3,20.8,31.5,21,21.4,17.4,95,45,89,84,6.8,4.1,11,Monday,0
1/19/2010,0.2,949.3,949.4,945.6,557,31.9,21.7,32.7,21.2,22.3,16.6,92,40,88,98,9.4,4.1,15,Tuesday,0
1/20/2010,0,947.3,947.4,943.8,915.5,31.5,20.8,31.8,20.2,21.2,17.3,95,44,94,75,8,5.2,18,Wednesday,0
1/21/2010,11.4,948.2,948.2,945.2,998.8,31,21.6,31,20.5,21.8,18.5,94,50,94,78,9.1,6.8,12,Thursday,0
1/22/2010,0.2,949.4,949.5,947,944.4,26.2,21,26.7,20.3,21.4,18.5,95,62,87,99,6.9,3.8,11,Friday,0
1/23/2010,0,950.1,950.1,946.7,843.9,29.3,20.1,29.9,19.4,20.3,16.4,95,44,89,94,9,3.9,12,Saturday,0
1/24/2010,4.4,949.2,949.4,946.7,8.6,27.8,20.6,29,19.7,21.7,17.2,95,50,94,89,8.7,3.7,28,Sunday,0
1/25/2010,3.2,949.6,949.6,946.6,8.3,26.6,21.5,27.5,19.1,22.1,18,95,62,90,94,8.3,4.6,13,Monday,0
1/26/2010,28.8,948.5,948.6,944.3,828.7,28.9,20.2,30.4,19.5,20.9,17.5,96,48,94,86,9.7,6,16,Tuesday,0
1/27/2010,0.2,947.5,947.6,944.3,774.4,31.2,20.4,31.3,19,20.9,16.7,96,43,92,83,7.7,2.8,17,Wednesday,0
1/28/2010,0.2,948.1,948.2,944.8,93,31.2,21.1,31.7,21,21.5,17.8,95,44,94,7,7.8,5,16,Thursday,0
1/29/2010,0,949,949,947.5,888.6,28,21.4,28.3,21.8,21.5,18.7,94,57,91,67,6,3.7,17,Friday,0
1/30/2010,11.4,951.5,951.6,949.5,968.8,29.2,21.6,29.3,21.3,22.4,18.7,95,56,93,95,6.8,4.5,11,Saturday,0
1/31/2010,0.4,951.8,951.9,948.3,770.1,31.7,22.8,32.1,20.9,22.9,19.3,91,48,87,94,7.4,4.1,12,Sunday,0
2/1/2010,0,951.5,951.5,948,977.8,32.5,20.8,33.3,20.2,21.5,16.4,96,43,85,98,6.7,5.5,9,Monday,0
2/2/2010,0,951.2,951.3,947.8,671.8,33.5,20.4,33.9,19.7,21,16.3,94,36,94,93,7.4,4.9,3,Tuesday,0
2/3/2010,0,950.5,950.6,946.6,96.5,33.7,20.5,34.7,19.6,21.1,16.3,95,35,92,81,7.7,4.2,11,Wednesday,0
2/4/2010,8.4,950.1,950.2,946.1,7,33.2,22.1,35.1,19.7,22.8,16.2,94,34,92,72,8.2,6.9,4,Thursday,0
2/5/2010,0,949.8,950,944.9,820.1,33.2,20.8,33.5,19.3,21.6,15.7,95,36,95,71,8.7,5,14,Friday,0
2/6/2010,1.8,948.8,948.9,944.2,90.4,33.4,19.6,34,19.1,20.2,14.8,95,34,95,88,8.7,5,16,Saturday,0
2/7/2010,0,949.3,949.3,944.3,981.8,33.7,19.5,34.3,18,21.5,12.9,95,28,93,59,6.1,3.8,22,Sunday,0
2/8/2010,0,947.8,947.9,942.4,710.6,34.1,19.9,34.6,19.8,21,14.6,92,32,89,86,7.4,3.3,11,Monday,0
2/9/2010,3.6,945.3,945.5,942.2,95.9,33.1,20.1,33.4,20.2,20.2,16,92,37,90,88,9.6,6,19,Tuesday,0
2/10/2010,0,947.7,947.8,944.5,933.9,31.3,21.3,32.4,19,21.5,16.7,95,44,93,77,8.4,4.2,14,Wednesday,0
2/11/2010,0,949.2,949.3,945.9,742.4,32.4,21.4,32.8,20.9,22,17.5,94,46,93,99,6.9,4.4,10,Thursday,0
2/12/2010,0,951.6,951.7,947.8,8.3,33.3,21.8,33.5,19.6,21.9,14.1,96,32,95,81,7.8,3.4,14,Friday,0
2/13/2010,0,952,952,947.8,603.9,33.3,20.3,33.7,20.5,21.2,13.3,94,31,93,92,7.1,3.2,20,Saturday,0
2/14/2010,0,951.1,951.1,946,655,34.2,19.7,34.8,19.8,20,11.2,91,25,88,69,6.2,3.2,7,Sunday,0
2/15/2010,0,948.9,949,944.3,599.1,34.4,20,35,19.8,20.4,12.7,90,34,88,72,7.3,4.4,14,Monday,1
2/16/2010,5.2,947.9,948,944.5,90.2,34.4,20.3,35.5,20,20.7,14.1,94,28,93,86,8.6,5.6,11,Tuesday,1
2/17/2010,0.6,949.2,949.2,946.6,85.6,30,21.3,31.2,20.2,22.6,18.4,93,49,90,313,6.6,3.8,17,Wednesday,0
2/18/2010,3,952.3,952.4,950.3,814.5,24.3,21.9,24.3,21.1,21.9,19.2,95,77,94,81,6.6,4.5,23,Thursday,0
2/19/2010,0.6,953.7,953.8,951.9,555,25.4,20,25.9,21.3,20.8,19,93,68,87,69,7.9,4.9,10,Friday,0
2/20/2010,0,953.6,953.7,949.4,444.7,31,20.8,31.8,20.2,21.5,15.3,95,40,91,84,7.2,4.4,9,Saturday,0
2/21/2010,0,950.7,950.8,946.2,530.2,32.8,22.2,33.3,18.7,22.2,16.1,96,37,95,9,8,4.5,6,Sunday,0
2/22/2010,2.4,949,949.1,944.2,3650.2,34.2,21.9,34.7,19.8,22,16.2,95,35,94,74,8.1,5.9,17,Monday,0
2/23/2010,0,947.5,947.6,943.6,548.8,33.7,20.7,34,19.9,21.2,15.2,94,35,93,88,9.6,5.4,14,Tuesday,0
2/24/2010,0.4,947.7,947.9,944.9,703.1,32.7,21.7,33.5,20.8,22.2,17.8,95,44,95,85,6.8,6.7,14,Wednesday,0
2/25/2010,1.2,949.1,949.1,947.9,930.2,26.1,21.3,26.3,21.4,21.7,17.7,94,69,93,86,8.9,5.4,23,Thursday,0
2/26/2010,0,951.5,951.5,949.1,981.4,23.6,18,24.2,19.4,18.6,15.8,84,66,81,89,6.1,3.8,14,Friday,0
2/27/2010,0,952,952,948.4,716.1,25.5,18.3,25.9,19.2,18.8,17.1,92,60,89,90,8.1,4.6,13,Saturday,0
2/28/2010,0.4,950.9,951,947.6,967.3,24.4,19.6,24.5,19.8,20.2,17.8,91,73,87,97,4.9,3.3,17,Sunday,0
3/1/2010,12.6,952,952,950,963.8,19.2,17.7,19.4,16.8,17.9,14.9,93,85,92,289,6.5,4.3,21,Monday,0
3/2/2010,2,951.3,951.4,948.3,840.5,21.7,18.8,21.9,17.7,19.2,16.6,94,77,91,78,4.7,3.1,8,Tuesday,0
3/3/2010,0,950.2,950.3,947.6,657.8,24.2,19.9,24.6,19.2,20.4,17.5,91,73,87,73,6.1,3.7,16,Wednesday,0
3/4/2010,0,950,950,946.8,898.6,28.2,21.1,28.7,20.6,21.4,19.1,92,57,86,359,8,4.7,12,Thursday,0
3/5/2010,0.2,948.8,948.9,945.6,495.6,27.4,20.1,28.1,20.1,20.6,18.5,95,60,88,90,9.4,4.5,21,Friday,0
3/6/2010,4.4,946.3,946.4,944.4,621.3,22.8,19.1,22.9,19,19.3,17.1,94,76,94,80,8.8,4.9,20,Saturday,0
3/7/2010,0.2,945,945.1,941.1,96.8,28.6,20.3,28.8,17.4,20.4,16,93,49,87,96,8.9,4,14,Sunday,0
3/8/2010,0,945.1,945.2,942.7,8.4,31.3,19.5,31.8,18.8,19.9,11.5,95,30,95,93,9,5.1,18,Monday,0
3/9/2010,0,947.7,947.8,943.6,976.8,31.9,19.9,32.4,18,20.2,11,96,28,95,71,8,4.2,17,Tuesday,0
3/10/2010,0,946.3,946.4,942.1,895.1,32.1,19.7,32.5,17.1,20.6,14.5,95,35,94,82,8,4.2,21,Wednesday,0
